id,song_played,time_played,user_id,user_sign_up_date,user_state
YLAXXRCAOR,Reprise / Day in the Life,2015-06-24 18:22:24,193,2015-05-20,Louisiana
HEKVDCGURK,While My Guitar Gently Weeps,2015-06-20 09:13:20,126,2015-05-16,Illinois
GFEOXBDCXQ,Lucy In The Sky With Diamonds,2015-06-21 05:07:35,127,2015-05-16,Connecticut
YEHXYXQKTV,Hey Jude,2015-06-04 19:12:08,181,2015-05-20,Colorado
VITGRVNCOO,While My Guitar Gently Weeps,2015-06-28 15:36:36,86,2015-05-09,Georgia
PPVYJFTQNO,A Day In The Life,2015-06-20 13:58:09,32,2015-05-04,Wisconsin
PLEZYPMTQC,Maxwell's Silver Hammer,2015-06-03 03:01:48,140,2015-05-17,New York
UVJNKRZYEW,Come Together,2015-06-22 15:46:11,138,2015-05-17,Alabama
BREUHLKMKU,Hello Goodbye,2015-06-07 19:54:40,194,2015-05-20,California
ITZIOEAKIU,Lucy In The Sky With Diamonds,2015-06-11 17:31:36,90,2015-05-10,Utah
SKMANFHMMK,Across The Universe,2015-06-22 10:27:01,51,2015-05-06,Pennsylvania
YCBBAYWXZW,Get Back,2015-06-06 17:46:46,19,2015-05-02,New York
TVVYVUQDXC,"Ob-la-di, Ob-la-da",2015-06-07 07:43:58,158,2015-05-19,North Carolina
EEZYRMFBDI,Yesterday,2015-06-04 19:01:06,195,2015-05-20,Alaska
BTHJYCSIDI,While My Guitar Gently Weeps,2015-06-06 11:16:58,52,2015-05-07,New York
GHDIMXUHCU,I Feel Fine,2015-06-15 13:40:07,23,2015-05-02,Mississippi
TCPQTLEFBY,Fixing A Hole,2015-06-22 06:00:12,41,2015-05-04,Florida
TZBULUFQBZ,Let It Be,2015-06-04 14:22:49,163,2015-05-19,New York
AZORDUFZOE,Revolution,2015-06-22 14:40:55,98,2015-05-12,Mississippi
IUHMNFEOWQ,I Feel Fine,2015-06-28 03:33:13,22,2015-05-02,New York
TRCUEBCIXG,Come Together,2015-06-27 12:48:31,60,2015-05-07,West Virginia
XOKIWPKFFQ,Come Together,2015-06-17 18:00:34,94,2015-05-11,South Carolina
BTBDUHCXWT,Lucy In The Sky With Diamonds,2015-06-12 09:37:19,112,2015-05-14,California
USXRGICTMD,Come Together,2015-06-26 18:21:19,70,2015-05-08,Tennessee
LCXGFQYEWZ,Back In the U.S.S.R.,2015-06-05 19:47:33,184,2015-05-20,Wisconsin
NNSBDXPJUE,Get Back,2015-06-26 10:14:02,31,2015-05-04,Michigan
VHNCUNIABU,OH DARLING,2015-06-26 12:58:08,138,2015-05-17,Alabama
ODRHZDDDYJ,A Day In The Life,2015-06-06 14:46:25,199,2015-05-20,Pennsylvania
ONYFMXBXRQ,Let It Be,2015-06-18 11:14:30,195,2015-05-20,Alaska
AJSILDDDPT,Let It Be,2015-06-25 18:01:08,192,2015-05-20,California
VKCYCZMVVH,A Day In The Life,2015-06-11 15:15:36,96,2015-05-12,South Carolina
SJYWDAFPTE,We Can Work It Out,2015-06-14 04:33:46,45,2015-05-05,Illinois
IBRXXVFHXR,Come Together,2015-06-16 05:31:22,53,2015-05-07,New Jersey
TPSEXSKHWV,Come Together,2015-06-12 16:56:55,14,2015-05-02,Ohio
CMMHTDSVUP,We Can Work It Out,2015-06-27 09:55:48,76,2015-05-08,New York
EWUPVLQWEV,Birthday,2015-06-24 16:25:37,94,2015-05-11,South Carolina
HGJEZSEHOT,A Day In The Life,2015-06-20 19:55:22,46,2015-05-06,Pennsylvania
UNDFZASRIL,A Day In The Life,2015-06-21 17:33:35,77,2015-05-08,New York
FBROKZLZWD,Sgt. Pepper Inner Groove,2015-06-01 12:40:31,91,2015-05-10,North Carolina
CUWCYIAKKR,Back In the U.S.S.R.,2015-06-26 09:05:33,169,2015-05-19,Kentucky
KFISENJGQN,A Saturday Club Xmas/Crimble Medley,2015-06-04 08:53:55,47,2015-05-06,New York
ZLTYQNDSYJ,Lucy In The Sky With Diamonds,2015-06-10 22:04:30,19,2015-05-02,New York
GCPHRDAEIE,Revolution,2015-06-02 12:06:21,65,2015-05-08,Texas
QHKNIWAMWY,Get Back,2015-06-08 10:22:20,58,2015-05-07,Maryland
SJOLMYFJRM,BALLAD OF JOHN AND YOKO,2015-06-04 16:40:01,97,2015-05-12,California
IKCWDOWGKR,Revolution,2015-06-19 15:28:04,77,2015-05-08,New York
QIWYMXDDOU,Got To Get You Into My Life,2015-06-06 17:47:58,25,2015-05-02,Ohio
FQNGSMFARY,Come Together,2015-06-07 07:10:02,56,2015-05-07,Massachusetts
DOWIOHHWLO,Back In the U.S.S.R.,2015-06-19 14:55:35,54,2015-05-07,Ohio
FUZEXNGIIH,Wild Honey Pie,2015-06-10 19:53:35,13,2015-05-02,Michigan
YEYEFEGHSB,Let It Be,2015-06-22 05:57:00,15,2015-05-02,Massachusetts
CDZFTVKYOY,The Ballad Of John And Yoko,2015-06-05 14:12:34,125,2015-05-16,Washington
CQBDXOBIRL,IN MY LIFE,2015-06-26 12:12:29,49,2015-05-06,Ohio
HZMTPWWAKG,We Can Work It Out,2015-06-10 18:38:24,144,2015-05-18,Virginia
VHTSMNTNMK,Strawberry Fields Forever,2015-06-25 15:09:30,110,2015-05-14,California
UFGKYQFDRO,While My Guitar Gently Weeps,2015-06-13 15:53:54,107,2015-05-13,New York
IALEVOAPZM,Twist and Shout,2015-06-15 11:04:48,18,2015-05-02,Maryland
BMTHHJPKYU,Here Comes The Sun,2015-06-08 12:10:30,112,2015-05-14,California
BRKDWARZNM,Here Comes The Sun,2015-06-20 17:11:47,126,2015-05-16,Illinois
VYGDSSQBJY,I Saw Her Standing There,2015-06-11 13:24:34,5,2015-05-01,Alabama
RJBHNTSNVB,Come Together,2015-06-25 09:23:58,56,2015-05-07,Massachusetts
CSYYNDMPTW,Helter Skelter,2015-06-08 11:12:08,116,2015-05-15,Indiana
XCZTJXWTNF,"Ob-la-di, Ob-la-da",2015-06-05 15:20:10,156,2015-05-19,New York
IEJRBAGBOX,Something,2015-06-14 22:09:03,35,2015-05-04,New Jersey
FQGKVINYBM,Hello Goodbye,2015-06-12 15:18:56,169,2015-05-19,Kentucky
RMJRLTTZJL,Hey Jude,2015-06-16 14:57:03,47,2015-05-06,New York
YBGQMWQNHW,Revolution,2015-06-18 02:56:34,120,2015-05-16,Georgia
HWVMMLYUSU,Come Together,2015-06-08 12:23:48,158,2015-05-19,North Carolina
JMZZHCEZYN,Revolution,2015-06-13 18:54:31,176,2015-05-19,Missouri
VEXBNAUQND,Come Together,2015-06-21 12:08:22,72,2015-05-08,California
ZEGTJVAAZS,Twist and Shout,2015-06-20 16:11:34,94,2015-05-11,South Carolina
LYZJSGOGMT,Eleanor Rigby,2015-06-01 21:22:21,106,2015-05-12,Alaska
MXGXZNAZUA,Things We Said Today,2015-06-06 12:09:54,179,2015-05-19,New York
CIYPBKIGRV,Hello Goodbye,2015-06-16 20:51:22,141,2015-05-17,Ohio
EZXVDKHRCQ,Come Together,2015-06-08 12:18:11,155,2015-05-19,Texas
DDVKWCIYQR,Come Together,2015-06-10 10:28:52,126,2015-05-16,Illinois
OONZWCBKJA,Let It Be,2015-06-18 03:18:53,117,2015-05-16,Missouri
RVYFCTFVSR,Eleanor Rigby,2015-06-22 17:28:08,173,2015-05-19,Colorado
UFHEWGFUPP,Back In the U.S.S.R.,2015-06-21 18:55:04,189,2015-05-20,Florida
XWFEGPSWZF,Get Back,2015-06-25 15:38:14,185,2015-05-20,New York
EBICGVXPFG,Birthday,2015-06-25 17:43:51,122,2015-05-16,Louisiana
ILXBDJQKMG,Let It Be,2015-06-28 19:23:07,30,2015-05-03,North Carolina
NDRGAMEOKS,Hey Jude,2015-06-04 18:19:33,111,2015-05-14,Massachusetts
LTLJOPWZWS,Revolution,2015-06-05 22:30:48,193,2015-05-20,Louisiana
COGVTJCDFY,Come Together,2015-06-08 17:17:38,75,2015-05-08,Texas
XMTPEHEVEX,Get Back,2015-06-02 15:13:42,112,2015-05-14,California
ZYLPEPMAVL,Birthday,2015-06-17 12:47:26,55,2015-05-07,California
SGJUPCAXQV,Don't Let Me Down,2015-06-14 22:59:54,176,2015-05-19,Missouri
SIRQAMYMZI,Sgt. Pepper/with A Little Help From My Friends,2015-06-01 21:35:01,171,2015-05-19,Illinois
IDCVMTRPXB,Hello Goodbye,2015-06-06 10:38:13,155,2015-05-19,Texas
RARKRPETDJ,Sgt. Pepper/with A Little Help From My Friends,2015-06-24 15:59:20,35,2015-05-04,New Jersey
ZKBGWMSCET,Come Together,2015-06-19 13:50:24,64,2015-05-08,South Carolina
ALSMFEYAJE,Something,2015-06-28 11:38:03,69,2015-05-08,New York
IGJZZWUYXW,Lucy In The Sky With Diamonds,2015-06-04 22:29:49,131,2015-05-16,Illinois
SYQHSZGXJM,She Loves You,2015-06-08 04:14:35,96,2015-05-12,South Carolina
VFGACYYOVG,Yesterday,2015-06-28 14:24:51,193,2015-05-20,Louisiana
ILSPXGWJCC,Sgt. Pepper/with A Little Help From My Friends,2015-06-08 05:59:08,160,2015-05-19,California
ZWSQJPBVIL,Strawberry Fields Forever,2015-06-28 22:36:10,146,2015-05-18,Indiana
DMYHEUQVNG,Here Comes The Sun,2015-06-27 15:58:25,196,2015-05-20,New York
MITOMNPCQH,Revolution,2015-06-12 18:14:19,188,2015-05-20,New York
IWUOMZBUBE,While My Guitar Gently Weeps,2015-06-01 14:10:35,164,2015-05-19,Pennsylvania
YFILIXIJEI,Come Together,2015-06-15 10:01:40,112,2015-05-14,California
SCLBOWCDND,Here Comes The Sun,2015-06-10 16:42:38,62,2015-05-07,California
DTXQDIVPSD,You Never Give Me Your Money,2015-06-15 16:57:27,179,2015-05-19,New York
AZFWDKVSWC,Come Together,2015-06-18 10:15:32,13,2015-05-02,Michigan
DRQEXFLVUJ,Get Back,2015-06-17 11:32:41,20,2015-05-02,Georgia
JYYFWYHQUM,Here Comes The Sun,2015-06-08 20:39:58,183,2015-05-20,Georgia
OEJLUSAKAE,Come Together,2015-06-08 11:09:36,150,2015-05-18,Oregon
YJLWTRBJDX,YOUR MOTHER SHOULD KNOW,2015-06-22 08:26:18,58,2015-05-07,Maryland
UDMFJGHCXQ,Eleanor Rigby,2015-06-13 14:02:44,175,2015-05-19,Washington
YQQGAAYZAB,Revolution,2015-06-09 15:04:59,85,2015-05-09,Missouri
OMBRMDBGVL,I Feel Fine,2015-06-15 17:21:06,94,2015-05-11,South Carolina
SASSAISKZM,The Long And Winding Road,2015-06-15 12:45:01,148,2015-05-18,Alabama
TRFBRRWLTV,While My Guitar Gently Weeps,2015-06-04 12:44:11,54,2015-05-07,Ohio
RNUWYMGRYV,Sun King,2015-06-21 16:49:20,42,2015-05-04,New York
YVMEVNDPEL,Revolution,2015-06-21 09:36:44,30,2015-05-03,North Carolina
SPUJSHGJBM,Revolution,2015-06-20 10:37:52,171,2015-05-19,Illinois
KSAMNSPWGT,Sgt. Pepper/with A Little Help From My Friends,2015-06-08 14:37:25,175,2015-05-19,Washington
XPNBUCNQDI,Back In the U.S.S.R.,2015-06-18 18:28:50,42,2015-05-04,New York
CKGFBHBZSX,Wild Honey Pie,2015-06-21 12:52:44,108,2015-05-13,California
JQOYITJQTR,Get Back,2015-06-14 21:49:22,159,2015-05-19,California
MPVDLYJURY,While My Guitar Gently Weeps,2015-06-28 07:48:57,120,2015-05-16,Georgia
OWRKSAZSHS,I've Got A Feeling,2015-06-15 13:23:02,45,2015-05-05,Illinois
AMKXQNEPVP,Come Together,2015-06-01 21:38:03,178,2015-05-19,Iowa
RVOOQDWUHD,A Day In The Life,2015-06-15 10:32:52,115,2015-05-15,New Jersey
OFVEUZSPYQ,Come Together,2015-06-08 16:12:00,95,2015-05-11,Missouri
YQCGAYFFKI,Eight Days A Week,2015-06-18 16:56:20,22,2015-05-02,New York
BORNNUENDV,Day Tripper,2015-06-19 19:27:38,56,2015-05-07,Massachusetts
RHWWLDQSTE,Hello Goodbye,2015-06-24 23:01:26,20,2015-05-02,Georgia
KWDEBMOMPS,A Day In The Life,2015-06-26 15:13:49,46,2015-05-06,Pennsylvania
EICCAUVXAA,Hello Goodbye,2015-06-25 13:49:59,30,2015-05-03,North Carolina
IVBQJQWUDF,Hello Goodbye,2015-06-04 14:05:11,144,2015-05-18,Virginia
HNKWKYLRPH,Get Back,2015-06-21 12:00:25,25,2015-05-02,Ohio
LLNDYGKOBS,Revolution,2015-06-20 21:47:07,45,2015-05-05,Illinois
CVDVDPRXBP,Come Together,2015-06-11 11:51:35,102,2015-05-12,Indiana
VNZGYHDERM,Lucy In The Sky With Diamonds,2015-06-17 06:43:29,87,2015-05-09,California
IRVPFGJVHR,Hey Jude,2015-06-27 23:46:16,65,2015-05-08,Texas
SUBJIMTQRD,Here Comes The Sun,2015-06-26 19:13:24,124,2015-05-16,Arkansas
PBXOQQBWEA,Lucy In The Sky With Diamonds,2015-06-04 01:08:14,3,2015-05-01,Ohio
JNUENSWYKM,Helter Skelter,2015-06-07 21:13:40,153,2015-05-18,Indiana
LHQLZUPFUM,While My Guitar Gently Weeps,2015-06-18 18:58:59,22,2015-05-02,New York
VJLZTPOPAA,Let It Be,2015-06-09 14:51:49,162,2015-05-19,Tennessee
EYRXGGIBQA,Come Together,2015-06-12 16:18:10,46,2015-05-06,Pennsylvania
NXEATHYKZV,Strawberry Fields Forever,2015-06-22 15:23:23,23,2015-05-02,Mississippi
ZYGLVOTXJN,Hello Goodbye,2015-06-05 16:12:58,49,2015-05-06,Ohio
AJAIXADBJC,Roll Over Beethoven,2015-06-15 12:25:55,20,2015-05-02,Georgia
GNXERTWOAI,Revolution,2015-06-01 21:32:31,33,2015-05-04,Minnesota
AUMNKSZQXZ,Come Together,2015-06-07 23:45:57,35,2015-05-04,New Jersey
CPJLEZBCBM,Here Comes The Sun,2015-06-21 03:22:36,131,2015-05-16,Illinois
NDHPCTVGNM,I Am the Walrus,2015-06-02 07:13:19,56,2015-05-07,Massachusetts
FEUHGWWWMN,Come Together,2015-06-26 14:27:59,132,2015-05-16,California
ZVHOZGEFNM,While My Guitar Gently Weeps,2015-06-22 13:13:04,7,2015-05-01,Texas
BGEKZEEUQS,Get Back,2015-06-16 08:12:20,195,2015-05-20,Alaska
SGBIQPZCAE,Lady Madonna,2015-06-12 12:18:29,57,2015-05-07,Pennsylvania
BLDKTPUHAC,Hello Goodbye,2015-06-07 16:59:55,110,2015-05-14,California
AQMDQJBQAP,Here Comes The Sun,2015-06-15 08:10:20,27,2015-05-02,New York
OKEZMAUPBA,Good Day Sunshine,2015-06-04 21:15:21,106,2015-05-12,Alaska
TZWMOMXFEE,Come Together,2015-06-15 08:45:33,158,2015-05-19,North Carolina
THXIUMICEM,Get Back,2015-06-20 17:11:27,2,2015-05-01,North Carolina
YWUIBVJTLP,Come Together,2015-06-05 15:46:06,172,2015-05-19,Minnesota
ZKCNANOBTM,Come Together,2015-06-17 21:15:51,56,2015-05-07,Massachusetts
EUMJHMUPRA,Let It Be,2015-06-10 18:30:41,173,2015-05-19,Colorado
ZSVVTEGOSW,Blackbird,2015-06-21 22:15:04,170,2015-05-19,Oregon
RFQCYXDHAY,Don't Let Me Down,2015-06-11 13:09:18,2,2015-05-01,North Carolina
TRCKCVQGKT,Something,2015-06-03 11:29:12,42,2015-05-04,New York
WIIVLXARSU,Sgt. Pepper/with A Little Help From My Friends,2015-06-20 13:28:40,86,2015-05-09,Georgia
YIVNUSGVIX,Get Back,2015-06-04 14:14:24,99,2015-05-12,Illinois
PXZUXNKDHW,Back In the U.S.S.R.,2015-06-01 08:05:26,170,2015-05-19,Oregon
NWTWIRGPTP,Getting Better,2015-06-25 10:20:23,119,2015-05-16,Oklahoma
MMFSTFJOXP,Back In the U.S.S.R.,2015-06-11 22:57:07,108,2015-05-13,California
AVWYJAWNJT,Let It Be,2015-06-19 16:25:37,80,2015-05-09,Tennessee
GHAHCQPIIV,Let It Be,2015-06-22 21:31:24,47,2015-05-06,New York
FTCMXPXWNQ,Back In the U.S.S.R.,2015-06-07 12:29:45,159,2015-05-19,California
XAOOWVMYMQ,Let It Be,2015-06-05 11:37:18,171,2015-05-19,Illinois
ICUHWYQQGF,Get Back,2015-06-27 16:46:51,179,2015-05-19,New York
DGVOCKHINK,Things We Said Today,2015-06-23 15:55:04,184,2015-05-20,Wisconsin
GTLQXKXMAX,Get Back,2015-06-19 15:37:43,141,2015-05-17,Ohio
ZMMQTDVEKS,Come Together,2015-06-26 11:55:11,112,2015-05-14,California
BADSDFTOBM,Come Together,2015-06-08 03:45:10,19,2015-05-02,New York
QFIDRFMJUZ,Got To Get You Into My Life,2015-06-14 07:39:38,9,2015-05-02,Ohio
XAIBUWXEGG,Strawberry Fields Forever,2015-06-26 19:32:07,107,2015-05-13,New York
XERQDTHNVJ,Revolution,2015-06-04 12:34:29,160,2015-05-19,California
DFKMIVWQNK,ROCK AND ROLL MUSIC,2015-06-17 18:53:38,148,2015-05-18,Alabama
GQXBZETKQP,Can't Buy Me Love,2015-06-07 23:16:13,143,2015-05-17,New Jersey
HWBCKAUEEY,Sgt. Pepper/a Day In The Life,2015-06-12 08:26:15,14,2015-05-02,Ohio
RFNCBXMXUI,Come Together,2015-06-01 14:57:48,181,2015-05-20,Colorado
RDSUMKDJKT,Come Together,2015-06-01 18:52:21,65,2015-05-08,Texas
TMTOUEGGWF,A Day In The Life,2015-06-05 08:39:37,12,2015-05-02,New York
RZGAWXTQIW,Come Together,2015-06-07 18:21:21,99,2015-05-12,Illinois
KMJPKJQSER,Let It Be,2015-06-14 13:52:33,89,2015-05-10,Alabama
KYZVTPVSXH,Let It Be,2015-06-05 13:12:27,167,2015-05-19,Massachusetts
ARCONPRYPA,Hey Jude,2015-06-21 21:02:22,68,2015-05-08,Florida
MMWVVLMVOX,Back In the U.S.S.R.,2015-06-27 15:39:19,85,2015-05-09,Missouri
VHMJDMWEZV,Back In the U.S.S.R.,2015-06-25 15:39:46,56,2015-05-07,Massachusetts
XEZOCAXDJQ,Back In the U.S.S.R.,2015-06-07 12:44:23,124,2015-05-16,Arkansas
THOGBDASZE,Yesterday,2015-06-05 08:52:47,100,2015-05-12,Missouri
YQSFFFQIIF,Eleanor Rigby,2015-06-18 18:37:37,88,2015-05-10,California
BFYCQKQBFM,I Am the Walrus,2015-06-17 05:48:43,41,2015-05-04,Florida
UITCLGDZLH,Can't Buy Me Love,2015-06-20 14:41:16,119,2015-05-16,Oklahoma
KIJKSVKNMD,Sgt. Pepper/a Day In The Life,2015-06-22 14:20:21,141,2015-05-17,Ohio
TQHCHCCYCM,We Can Work It Out,2015-06-18 17:07:00,111,2015-05-14,Massachusetts
XTLRIRSLYF,Golden Slumbers,2015-06-12 14:41:35,135,2015-05-17,North Dakota
PENFZWGHOR,Magical Mystery Tour,2015-06-18 15:57:25,123,2015-05-16,Texas
PQXLVKFWQH,Birthday,2015-06-07 19:25:25,49,2015-05-06,Ohio
ZAFMXOAAQQ,I Want You (She's So Heavy),2015-06-18 08:05:16,47,2015-05-06,New York
GFBODIUTNK,With a Little Help From My Friends,2015-06-12 12:25:30,163,2015-05-19,New York
TQMEPDFJKO,She's Leaving Home,2015-06-08 09:33:48,20,2015-05-02,Georgia
KGQZFDYNXI,Get Back,2015-06-01 17:06:40,69,2015-05-08,New York
UNKHMHCISL,Hello Goodbye,2015-06-07 08:11:19,169,2015-05-19,Kentucky
HEACPHNRKV,P.s. I Love You,2015-06-07 20:48:15,151,2015-05-18,Wisconsin
NWGXJYZXHE,Don't Let Me Down,2015-06-17 09:28:31,46,2015-05-06,Pennsylvania
SALFZISAPJ,Here Comes The Sun,2015-06-25 17:13:55,182,2015-05-20,Oklahoma
SESHBKXDCF,Get Back,2015-06-05 13:35:22,173,2015-05-19,Colorado
MENDBGJQTR,Get Back,2015-06-21 07:38:40,60,2015-05-07,West Virginia
SZJLSAINJV,ROCK AND ROLL MUSIC,2015-06-24 09:27:38,54,2015-05-07,Ohio
LHNVFJKRWW,Come Together,2015-06-11 11:43:06,161,2015-05-19,Pennsylvania
PYMWQEHYAR,Yesterday,2015-06-15 04:59:21,78,2015-05-08,Arkansas
GOXMLMXNGJ,Lady Madonna,2015-06-27 20:23:53,135,2015-05-17,North Dakota
YZBVEUSUOM,We Can Work It Out,2015-06-20 15:21:10,16,2015-05-02,Georgia
UAHJMQMCOW,Eleanor Rigby,2015-06-11 19:02:45,115,2015-05-15,New Jersey
XUMXXJCGAL,Eight Days A Week,2015-06-10 19:20:08,131,2015-05-16,Illinois
XPKVZUFZPJ,Yellow Submarine,2015-06-22 18:06:14,117,2015-05-16,Missouri
LZCABKPZTI,Come Together,2015-06-20 19:19:39,141,2015-05-17,Ohio
KCTEOCUEWB,Revolution,2015-06-19 15:08:30,42,2015-05-04,New York
ZOEPIKRFYA,Revolution,2015-06-10 11:18:42,107,2015-05-13,New York
TVWYKNRNOG,Come Together,2015-06-11 01:35:25,10,2015-05-02,New York
FVWYDPGPGR,Come Together,2015-06-01 16:38:22,87,2015-05-09,California
EILGVEIZZK,Revolution,2015-06-10 20:32:22,162,2015-05-19,Tennessee
PICQVJYEJT,A Day In The Life,2015-06-17 23:33:28,144,2015-05-18,Virginia
OPINGEXTMQ,Come Together,2015-06-12 14:10:35,33,2015-05-04,Minnesota
MQJFNUXZTB,Back In the U.S.S.R.,2015-06-19 23:08:56,3,2015-05-01,Ohio
MDKBJVPBYV,Come Together,2015-06-26 04:32:06,68,2015-05-08,Florida
OFZNHDRXVN,THE CONTINUING STORY OF BUNG,2015-06-01 12:23:27,155,2015-05-19,Texas
RWGNNLDTSP,Here Comes The Sun,2015-06-12 12:46:50,165,2015-05-19,Idaho
QSJMFAJJVJ,Golden Slumbers,2015-06-19 17:20:01,188,2015-05-20,New York
QRUGKKDFAX,Get Back,2015-06-28 13:40:51,137,2015-05-17,Wisconsin
JDKFKNJTAP,Come Together,2015-06-15 10:32:38,5,2015-05-01,Alabama
DSHLDGBRAT,Let It Be,2015-06-12 22:44:23,171,2015-05-19,Illinois
UNWHXYKOVH,BAD BOY,2015-06-06 19:53:16,200,2015-05-20,North Carolina
CLIVLOOMWR,Reprise / Day in the Life,2015-06-11 17:49:33,184,2015-05-20,Wisconsin
LHYSACTGZS,Birthday,2015-06-22 03:28:54,14,2015-05-02,Ohio
ULFLCQNQWT,Revolution,2015-06-08 21:10:35,11,2015-05-02,Pennsylvania
FJHZSNVNSM,A Day In The Life,2015-06-05 00:49:58,4,2015-05-01,New Mexico
KCYQBJDFKH,Something,2015-06-14 23:47:54,42,2015-05-04,New York
YLZEGHGRJE,Revolution,2015-06-12 16:14:13,76,2015-05-08,New York
VYFFREGDYO,P.s. I Love You,2015-06-19 12:55:33,88,2015-05-10,California
YSFGNLBMYP,Sgt. Pepper/with A Little Help From My Friends,2015-06-17 16:08:02,73,2015-05-08,Illinois
CTCWGWIJIV,Revolution,2015-06-15 16:57:28,98,2015-05-12,Mississippi
EKQXZYZBMK,A Hard Day's Night,2015-06-11 14:37:21,31,2015-05-04,Michigan
XQIMXFSRAH,All My Loving,2015-06-15 17:41:58,25,2015-05-02,Ohio
VPCKIWYWHB,Revolution,2015-06-27 08:19:21,40,2015-05-04,Texas
SYFDGXVXAM,Come Together,2015-06-11 10:38:28,98,2015-05-12,Mississippi
SBSGSORLYB,IN MY LIFE,2015-06-27 21:11:42,35,2015-05-04,New Jersey
WNKTBXFZZX,I Feel Fine,2015-06-07 12:57:22,153,2015-05-18,Indiana
LATTZFUASH,Revolution,2015-06-01 18:48:18,106,2015-05-12,Alaska
XMCQJWRIDT,While My Guitar Gently Weeps,2015-06-12 04:47:05,37,2015-05-04,Pennsylvania
GGJNKIHPQJ,Eleanor Rigby,2015-06-19 12:03:30,16,2015-05-02,Georgia
VIMJOSCWYK,Here Comes The Sun,2015-06-14 09:51:18,114,2015-05-14,Pennsylvania
SJOVSFAMFA,Come Together,2015-06-14 14:18:09,47,2015-05-06,New York
